Time Stamp,Wind Speed (m/s),Horizontal Wind Direction (Degrees),U Vector (m/s),V Vector (m/s),W Vector (m/s),Temperature (TSM) (C),Relative Humidity (TSM) (%),Absolute Pressure (TSM) (hPa),Pitch Angle (Degrees),Roll Angle (Degrees),Temperature (AHT10) (C),Relative Humidity (AHT10) (%),Temperature (MS5611) (C),Absolute Pressure (MS5611) (hPa)
2025_10_9_13_12_26,1.16,133,-0.82,0.77,0.29,30.77,43.78,1000.52,-0.1,-0.2,38.15,48.59,42.3,998.64
2025_10_9_13_12_26,1.3,134,-0.92,0.89,0.24,30.61,43.8,1000.51,-0.1,-0.3,38.15,48.57,42.3,998.64
2025_10_9_13_12_27,1.31,139,-0.83,0.97,0.29,30.49,43.8,1000.51,-0.1,-0.3,38.16,48.6,42.32,998.68
2025_10_9_13_12_27,1.29,136,-0.88,0.91,0.23,30.51,43.81,1000.51,-0.1,-0.3,38.17,48.59,42.32,998.68
2025_10_9_13_12_27,1.3,131,-0.97,0.85,0.17,30.55,43.79,1000.51,-0.1,-0.3,38.18,48.58,42.32,998.68
2025_10_9_13_12_27,1.19,132,-0.88,0.8,0.08,30.57,43.77,1000.52,-0.1,-0.1,38.18,48.56,42.32,998.68
2025_10_9_13_12_27,1.37,129,-1.06,0.87,0.1,31.22,43.82,1000.51,-0.1,-0.5,38.19,48.65,42.32,998.68
2025_10_9_13_12_28,1.36,134,-0.96,0.94,0.18,31.06,43.79,1000.51,-0.2,-0.2,38.19,48.63,42.34,998.72
2025_10_9_13_12_28,1.28,135,-0.9,0.9,0.17,30.9,43.77,1000.52,0,-0.6,38.2,48.63,42.34,998.72
2025_10_9_13_12_28,1.37,138,-0.9,1.01,0.24,31.32,43.71,1000.52,-0.2,0.3,38.21,48.62,42.34,998.72
2025_10_9_13_12_28,1.33,139,-0.86,0.97,0.29,31.78,43.75,1000.51,-0.3,1,38.21,48.58,42.34,998.6
2025_10_9_13_12_28,1.37,133,-0.97,0.91,0.31,31.9,43.75,1000.52,0.1,-0.9,38.2,48.59,42.35,998.76
2025_10_9_13_12_29,1.5,140,-0.93,1.11,0.39,31.69,43.7,1000.52,-0.2,-0.3,38.18,48.57,42.35,998.76
2025_10_9_13_12_29,1.47,130,-1.11,0.93,0.26,30.78,43.7,1000.51,-0.2,0,38.23,48.61,42.35,998.64
2025_10_9_13_12_29,1.48,133,-1.06,1.01,0.21,30.46,43.71,1000.51,-0.2,-0.1,38.22,48.61,42.35,998.64
2025_10_9_13_12_29,1.59,137,-1.07,1.15,0.22,29.87,43.67,1000.51,-0.1,-0.4,38.21,48.56,42.35,998.64
2025_10_9_13_12_29,1.61,138,-1.08,1.18,-0.13,29.52,43.66,1000.51,-0.2,0.1,38.2,48.61,42.37,998.68
2025_10_9_13_12_30,1.59,136,-1.11,1.13,-0.09,29.22,43.67,1000.5,-0.1,-0.5,38.21,48.64,42.37,998.68
2025_10_9_13_12_30,1.68,133,-1.22,1.15,0.01,29.18,43.61,1000.51,0,-0.6,38.21,48.61,42.37,998.8
2025_10_9_13_12_30,1.62,129,-1.27,1.01,0.05,29.26,43.61,1000.51,-0.3,0.2,38.23,48.6,42.37,998.56
2025_10_9_13_12_30,1.45,127,-1.16,0.88,0.05,29.33,43.56,1000.51,-0.1,-0.6,38.23,48.61,42.39,998.6
2025_10_9_13_12_30,1.55,129,-1.2,0.97,0.14,29.44,43.58,1000.5,0,-0.3,38.24,48.57,42.37,998.56
2025_10_9_13_12_31,1.55,132,-1.15,1.04,0.13,29.41,43.57,1000.52,-0.1,0.1,38.24,48.63,42.39,998.6
2025_10_9_13_12_31,1.54,135,-1.1,1.08,0.07,29.35,43.53,1000.5,0.1,-0.4,38.25,48.57,42.39,998.72
2025_10_9_13_12_31,1.36,136,-0.94,0.98,-0.04,29.16,43.51,1000.5,-0.3,-0.2,38.24,48.55,42.39,998.72
2025_10_9_13_12_31,1.27,136,-0.88,0.92,-0.07,29.12,43.5,1000.51,-0.1,-0.2,38.26,48.62,42.39,998.6
2025_10_9_13_12_31,1.17,135,-0.83,0.82,-0.07,29.17,43.54,1000.49,0,-0.3,38.27,48.59,42.41,998.64
2025_10_9_13_12_32,1.09,134,-0.78,0.75,-0.11,29.25,43.46,1000.5,0,-0.3,38.26,48.58,42.41,998.76
2025_10_9_13_12_32,1.21,130,-0.92,0.78,0.08,29.32,43.46,1000.51,-0.2,-0.3,38.26,48.57,42.41,998.64
2025_10_9_13_12_32,1.3,135,-0.91,0.92,0.09,29.37,43.47,1000.52,-0.4,0.4,38.26,48.58,42.41,998.53
2025_10_9_13_12_32,1.37,139,-0.89,1.04,-0.02,29.2,43.45,1000.5,-0.3,-0.4,38.27,48.59,42.42,998.57
2025_10_9_13_12_32,1.37,138,-0.92,1.02,-0.06,29.17,43.42,1000.51,-0.3,-0.6,38.27,48.59,42.42,998.68
2025_10_9_13_12_33,1.29,139,-0.85,0.97,-0.08,29.21,43.4,1000.51,-0.1,-0.4,38.28,48.58,42.42,998.68
2025_10_9_13_12_33,1.32,143,-0.8,1.04,-0.05,29.19,43.45,1000.5,0,-0.3,38.3,48.57,42.42,998.68
2025_10_9_13_12_33,1.34,143,-0.8,1.07,-0.03,29.17,43.38,1000.51,-0.1,-0.4,38.27,48.5,42.44,998.61
2025_10_9_13_12_33,1.23,144,-0.73,0.99,-0.02,29.22,43.4,1000.5,0.1,-0.1,38.29,48.58,42.44,998.72
2025_10_9_13_12_33,1.27,143,-0.75,1.02,0.03,29.28,43.39,1000.5,-0.3,-0.2,38.3,48.57,42.44,998.61
2025_10_9_13_12_34,1.16,147,-0.64,0.97,-0.03,29.11,43.36,1000.51,-0.2,-0.8,38.31,48.56,42.46,998.65
2025_10_9_13_12_34,1.3,148,-0.68,1.1,0,29.12,43.36,1000.52,-0.5,0,38.3,48.52,42.44,998.72
2025_10_9_13_12_34,1.4,147,-0.75,1.18,-0.03,29.16,43.34,1000.51,-0.3,-0.1,38.3,48.55,42.46,998.76
2025_10_9_13_12_34,1.45,147,-0.79,1.22,0.04,29.14,43.32,1000.5,0,-1,38.3,48.49,42.46,998.65
2025_10_9_13_12_34,1.5,147,-0.81,1.26,-0.01,29.13,43.29,1000.5,-0.2,-0.2,38.31,48.57,42.46,998.65
2025_10_9_13_12_35,1.46,147,-0.79,1.22,-0.01,29.12,43.28,1000.51,0,-0.7,38.32,48.53,42.46,998.65
2025_10_9_13_12_35,1.43,147,-0.79,1.19,0.02,29.12,43.27,1000.5,-0.3,-0.8,38.32,48.49,42.48,998.68
2025_10_9_13_12_35,1.43,147,-0.78,1.2,-0.02,29.15,43.25,1000.51,-0.4,0.4,38.31,48.51,42.48,998.68
2025_10_9_13_12_35,1.45,147,-0.79,1.21,0,29.14,43.21,1000.5,0,-0.1,38.32,48.51,42.48,998.68
2025_10_9_13_12_35,1.31,148,-0.68,1.11,0.06,29.22,43.22,1000.49,0,-0.5,38.33,48.51,42.48,998.57
2025_10_9_13_12_36,1.3,150,-0.64,1.12,0.06,29.26,43.24,1000.5,-0.2,-0.1,38.31,48.49,42.48,998.68
2025_10_9_13_12_36,1.4,148,-0.74,1.19,0.01,29.2,43.15,1000.5,0,-0.5,38.33,48.49,42.49,998.72
2025_10_9_13_12_36,1.4,152,-0.65,1.24,-0.05,29.26,43.15,1000.5,-0.2,-0.1,38.32,48.49,42.49,998.72
2025_10_9_13_12_36,1.54,158,-0.56,1.43,-0.04,29.24,43.12,1000.5,-0.1,-0.3,38.34,48.5,42.49,998.61
2025_10_9_13_12_36,1.46,161,-0.49,1.38,-0.05,29.18,43.16,1000.5,-0.1,-0.3,38.33,48.48,42.51,998.65
2025_10_9_13_12_37,1.37,162,-0.42,1.3,-0.05,29.23,43.11,1000.5,0,-0.7,38.34,48.47,42.49,998.72
2025_10_9_13_12_37,1.25,162,-0.38,1.19,-0.1,29.3,43.09,1000.5,-0.1,0,38.33,48.45,42.51,998.76
2025_10_9_13_12_37,1.24,165,-0.33,1.19,-0.07,29.3,43.02,1000.51,0,-0.4,38.36,48.51,42.51,998.65
2025_10_9_13_12_37,1.25,162,-0.39,1.18,-0.04,29.23,43.06,1000.5,0,-0.3,38.35,48.46,42.51,998.53
2025_10_9_13_12_37,1.15,159,-0.41,1.07,-0.01,29.25,43.06,1000.51,-0.1,-0.3,38.35,48.43,42.51,998.65
2025_10_9_13_12_38,1.04,158,-0.38,0.97,0,29.32,43.01,1000.51,-0.1,-0.3,38.36,48.44,42.53,998.69
2025_10_9_13_12_38,0.92,155,-0.39,0.82,0.12,29.62,43.03,1000.5,-0.1,-0.3,38.35,48.42,42.53,998.69
2025_10_9_13_12_38,0.75,150,-0.37,0.64,0.16,29.65,43,1000.5,-0.1,-0.3,38.34,48.37,42.53,998.57
2025_10_9_13_12_38,0.84,150,-0.42,0.72,0.12,29.43,42.94,1000.5,-0.1,-0.2,38.36,48.42,42.53,998.69
2025_10_9_13_12_38,0.88,136,-0.6,0.63,0.09,29.57,42.97,1000.51,-0.1,-0.3,38.38,48.4,42.55,998.73
2025_10_9_13_12_39,0.93,143,-0.56,0.74,0.09,29.5,42.95,1000.51,-0.1,-0.3,38.37,48.31,42.55,998.84
2025_10_9_13_12_39,0.98,147,-0.54,0.82,0.04,29.33,42.96,1000.5,-0.1,-0.3,38.36,48.39,42.55,998.61
2025_10_9_13_12_39,1,157,-0.38,0.92,0.06,29.37,42.92,1000.51,-0.1,-0.3,38.36,48.39,42.55,998.61
2025_10_9_13_12_39,1.02,151,-0.5,0.89,0.12,29.35,42.96,1000.51,-0.1,-0.3,38.35,48.37,42.55,998.61
2025_10_9_13_12_39,1.21,147,-0.65,1.02,0.06,29.3,42.92,1000.5,-0.1,-0.3,38.37,48.33,42.56,998.65
2025_10_9_13_12_40,1.15,143,-0.69,0.92,0.08,29.39,42.9,1000.49,-0.1,-0.3,38.36,48.36,42.56,998.53
2025_10_9_13_12_40,1.19,142,-0.74,0.93,0.06,29.47,42.94,1000.5,-0.1,-0.3,38.36,48.37,42.56,998.65
2025_10_9_13_12_40,1.25,147,-0.68,1.05,0.04,29.34,42.88,1000.5,-0.1,-0.3,38.37,48.35,42.58,998.57
2025_10_9_13_12_40,1.13,147,-0.62,0.94,0.06,29.36,42.89,1000.5,-0.1,-0.3,38.38,48.29,42.58,998.69
2025_10_9_13_12_40,1.18,139,-0.77,0.89,0.07,29.62,42.85,1000.5,-0.1,-0.3,38.38,48.32,42.58,998.57
2025_10_9_13_12_41,1.23,138,-0.81,0.91,0.18,29.67,42.91,1000.49,-0.1,-0.3,38.39,48.34,42.58,998.69
2025_10_9_13_12_41,1.06,131,-0.79,0.69,0.15,30.01,42.82,1000.5,-0.1,-0.3,38.4,48.36,42.6,998.73
2025_10_9_13_12_41,0.93,127,-0.74,0.56,0.07,30.24,42.86,1000.51,-0.1,-0.3,38.41,48.29,42.58,998.69
2025_10_9_13_12_41,0.94,128,-0.73,0.58,0.04,30.13,42.91,1000.51,-0.1,-0.3,38.4,48.34,42.6,998.73
2025_10_9_13_12_41,0.85,133,-0.62,0.58,0.11,29.95,42.87,1000.5,-0.1,-0.3,38.4,48.32,42.6,998.61
2025_10_9_13_12_42,0.78,133,-0.57,0.53,0.11,29.98,42.88,1000.5,-0.1,-0.3,38.39,48.3,42.6,998.61
2025_10_9_13_12_42,0.84,122,-0.69,0.44,0.18,30.32,42.94,1000.5,-0.1,-0.3,38.4,48.28,42.6,998.61
2025_10_9_13_12_42,0.83,124,-0.67,0.45,0.21,30.54,42.91,1000.51,-0.1,-0.3,38.39,48.3,42.61,998.77
2025_10_9_13_12_42,0.62,110,-0.56,0.21,0.18,30.56,42.87,1000.5,-0.1,-0.3,38.41,48.29,42.61,998.77
2025_10_9_13_12_42,0.57,105,-0.55,0.15,0.06,30.48,42.84,1000.49,-0.1,-0.3,38.42,48.27,42.61,998.65
2025_10_9_13_12_43,0.84,97,-0.83,0.1,0.08,30.6,42.83,1000.5,-0.1,-0.3,38.4,48.24,42.61,998.65
2025_10_9_13_12_43,0.82,90,-0.82,0,0.05,31.11,42.83,1000.5,-0.1,-0.3,38.4,48.23,42.61,998.53
2025_10_9_13_12_43,0.83,88,-0.83,-0.02,0.04,31.12,42.87,1000.5,-0.1,-0.3,38.38,48.19,42.63,998.69
2025_10_9_13_12_43,0.89,108,-0.85,0.28,0.03,30.76,42.87,1000.51,-0.1,-0.3,38.39,48.22,42.63,998.57
2025_10_9_13_12_43,0.86,109,-0.81,0.27,0.07,31.33,42.86,1000.51,-0.1,-0.3,38.41,48.26,42.65,998.73
2025_10_9_13_12_44,0.77,100,-0.75,0.14,0.11,31.74,42.89,1000.51,-0.1,-0.3,38.4,48.22,42.65,998.73
2025_10_9_13_12_44,0.77,85,-0.76,-0.07,-0.01,31.87,42.87,1000.52,-0.1,-0.3,38.41,48.24,42.63,998.69
2025_10_9_13_12_44,0.69,89,-0.69,-0.01,0.05,32.14,42.86,1000.5,-0.1,-0.3,38.41,48.2,42.65,998.73
2025_10_9_13_12_44,0.85,111,-0.76,0.29,0.23,31.53,42.9,1000.52,-0.1,-0.3,38.39,48.23,42.65,998.61
2025_10_9_13_12_44,0.95,114,-0.86,0.38,0.11,31.06,42.9,1000.51,-0.1,-0.3,38.39,48.2,42.65,998.61
2025_10_9_13_12_45,0.82,109,-0.77,0.26,0.1,31.08,42.9,1000.5,-0.1,-0.3,38.39,48.22,42.65,998.61
2025_10_9_13_12_45,0.78,115,-0.69,0.32,0.15,30.89,42.91,1000.51,-0.1,-0.3,38.39,48.21,42.67,998.65
2025_10_9_13_12_45,0.8,117,-0.7,0.36,0.15,30.42,42.93,1000.52,-0.1,-0.3,38.41,48.22,42.67,998.65
2025_10_9_13_12_45,0.91,98,-0.9,0.12,0.1,30.17,42.96,1000.5,-0.1,-0.3,38.39,48.21,42.67,998.53
2025_10_9_13_12_45,0.97,96,-0.96,0.11,0.07,30.01,42.92,1000.5,-0.1,-0.3,38.4,48.13,42.68,998.69
2025_10_9_13_12_46,1,100,-0.98,0.18,0.11,29.85,43.01,1000.51,-0.1,-0.3,38.4,48.23,42.68,998.69
2025_10_9_13_12_46,1.1,108,-1.04,0.34,0.16,29.85,42.97,1000.5,-0.1,-0.3,38.4,48.21,42.68,998.57
2025_10_9_13_12_46,1.13,116,-1.02,0.49,0.07,29.85,43.01,1000.51,-0.1,-0.3,38.39,48.21,42.68,998.69
2025_10_9_13_12_46,1.26,115,-1.14,0.52,0.08,29.95,42.99,1000.5,-0.1,-0.3,38.39,48.19,42.68,998.69
2025_10_9_13_12_46,1.38,106,-1.32,0.37,0.08,29.99,43.04,1000.49,-0.1,-0.3,38.42,48.18,42.68,998.57
2025_10_9_13_12_47,1.38,102,-1.35,0.28,-0.07,29.97,43.03,1000.49,-0.1,-0.3,38.41,48.18,42.7,998.73
2025_10_9_13_12_47,1.57,104,-1.51,0.38,0.21,29.93,42.96,1000.49,-0.1,-0.3,38.42,48.17,42.7,998.61
2025_10_9_13_12_47,1.54,105,-1.49,0.39,0.05,29.56,42.98,1000.5,-0.1,-0.3,38.39,48.19,42.7,998.73
2025_10_9_13_12_47,1.45,103,-1.42,0.33,-0.02,29.4,43.01,1000.51,-0.1,-0.3,38.41,48.22,42.7,998.61
2025_10_9_13_12_47,1.51,107,-1.43,0.43,0.18,29.33,42.98,1000.49,-0.1,-0.3,38.43,48.2,42.72,998.77
2025_10_9_13_12_48,1.6,92,-1.56,0.07,0.35,29.2,43,1000.5,-0.1,-0.3,38.43,48.19,42.72,998.65
2025_10_9_13_12_48,1.56,91,-1.52,0.04,0.32,29.2,42.95,1000.51,-0.1,-0.3,38.41,48.19,42.72,998.65
2025_10_9_13_12_48,1.36,96,-1.34,0.15,0.15,29.22,42.98,1000.5,-0.1,-0.3,38.42,48.22,42.72,998.53
2025_10_9_13_12_48,1.31,94,-1.3,0.1,0.13,29.18,42.99,1000.5,-0.1,-0.3,38.44,48.19,42.74,998.69
2025_10_9_13_12_48,1.28,95,-1.27,0.12,0.1,29.18,43.01,1000.49,-0.1,-0.3,38.42,48.21,42.74,998.69
2025_10_9_13_12_49,1.28,97,-1.27,0.15,0.02,29.18,43,1000.49,-0.1,-0.3,38.46,48.19,42.74,998.69
2025_10_9_13_12_49,1.23,95,-1.23,0.1,0.03,29.17,42.97,1000.51,-0.1,-0.3,38.43,48.24,42.74,998.69
2025_10_9_13_12_49,1.25,101,-1.22,0.24,-0.07,29.31,42.96,1000.5,-0.1,-0.3,38.44,48.19,42.75,998.61
2025_10_9_13_12_49,1.27,101,-1.24,0.24,-0.12,29.33,42.94,1000.51,-0.1,-0.3,38.43,48.21,42.75,998.73
2025_10_9_13_12_49,1.24,101,-1.22,0.25,-0.09,29.29,42.99,1000.5,-0.1,-0.3,38.45,48.16,42.74,998.57
2025_10_9_13_12_50,1.23,105,-1.18,0.32,-0.07,29.3,42.94,1000.5,-0.1,-0.3,38.47,48.17,42.75,998.73
2025_10_9_13_12_50,1.17,109,-1.11,0.38,-0.02,29.34,42.91,1000.5,-0.1,-0.3,38.47,48.18,42.75,998.61
2025_10_9_13_12_50,1.19,114,-1.09,0.48,-0.06,29.36,42.96,1000.5,-0.1,-0.3,38.46,48.19,42.75,998.61
2025_10_9_13_12_50,1.19,112,-1.1,0.45,-0.06,29.32,42.98,1000.5,-0.1,-0.3,38.48,48.17,42.77,998.77
2025_10_9_13_12_50,1.13,113,-1.04,0.44,-0.06,29.35,42.96,1000.49,-0.1,-0.3,38.48,48.13,42.77,998.65
2025_10_9_13_12_51,1.06,111,-0.99,0.39,-0.04,29.4,42.94,1000.5,-0.1,-0.3,38.49,48.13,42.77,998.65
2025_10_9_13_12_51,1.04,109,-0.98,0.33,-0.04,29.43,42.94,1000.51,-0.1,-0.3,38.5,48.14,42.79,998.69
2025_10_9_13_12_51,1.01,111,-0.94,0.36,-0.06,29.39,42.88,1000.5,-0.1,-0.3,38.49,48.14,42.79,998.57
2025_10_9_13_12_51,1.07,116,-0.95,0.47,-0.11,29.33,42.93,1000.5,-0.1,-0.3,38.49,48.16,42.79,998.69
2025_10_9_13_12_51,1.06,115,-0.95,0.45,-0.12,29.41,42.93,1000.49,-0.1,-0.3,38.5,48.12,42.79,998.46
2025_10_9_13_12_52,0.98,108,-0.93,0.3,-0.08,29.35,42.91,1000.5,-0.1,-0.3,38.52,48.15,42.8,998.73
2025_10_9_13_12_52,1.01,105,-0.98,0.26,0.01,29.35,42.96,1000.49,-0.1,-0.3,38.5,48.1,42.8,998.73
2025_10_9_13_12_52,0.97,106,-0.93,0.26,0.04,29.57,42.97,1000.49,-0.1,-0.3,38.51,48.09,42.8,998.73
2025_10_9_13_12_52,1.03,109,-0.97,0.34,0.09,29.62,42.95,1000.5,-0.1,-0.3,38.51,48.07,42.8,998.73
2025_10_9_13_12_52,1.04,111,-0.97,0.37,0.04,29.85,42.94,1000.5,-0.1,-0.3,38.49,48.09,42.82,998.65
2025_10_9_13_12_53,0.97,109,-0.92,0.31,-0.04,30.1,42.98,1000.51,-0.1,-0.3,38.48,48.08,42.82,998.65
2025_10_9_13_12_53,0.9,97,-0.9,0.11,-0.06,30.21,42.98,1000.51,-0.1,-0.3,38.49,48.07,42.82,998.65
2025_10_9_13_12_53,0.82,98,-0.81,0.12,-0.03,29.97,42.99,1000.51,-0.1,-0.3,38.5,48.08,42.82,998.65
2025_10_9_13_12_53,0.88,96,-0.87,0.1,-0.05,30.08,42.99,1000.5,-0.1,-0.3,38.51,48.08,42.82,998.54
2025_10_9_13_12_53,0.82,96,-0.81,0.09,-0.04,30.05,43.01,1000.5,-0.1,-0.3,38.52,48.08,42.84,998.69
2025_10_9_13_12_54,0.68,98,-0.67,0.09,-0.02,29.64,43.05,1000.51,-0.1,-0.3,38.51,48.06,42.82,998.65
2025_10_9_13_12_54,0.73,96,-0.72,0.08,-0.03,29.62,42.98,1000.5,-0.1,-0.3,38.52,48.09,42.84,998.69
2025_10_9_13_12_54,0.77,99,-0.76,0.12,-0.05,29.54,43.02,1000.5,-0.1,-0.3,38.51,48.06,42.84,998.58
2025_10_9_13_12_54,0.77,91,-0.77,0.02,-0.04,29.35,43.05,1000.51,-0.1,-0.3,38.51,48.05,42.86,998.62
2025_10_9_13_12_54,0.73,99,-0.72,0.11,-0.04,29.44,43.04,1000.51,-0.1,-0.3,38.52,48.05,42.86,998.73
2025_10_9_13_12_55,0.82,103,-0.8,0.19,-0.01,29.59,43.08,1000.51,-0.1,-0.3,38.52,48.08,42.86,998.62
2025_10_9_13_12_55,0.94,92,-0.94,0.03,-0.04,29.57,43.04,1000.51,-0.1,-0.3,38.51,48.05,42.86,998.73
2025_10_9_13_12_55,0.9,98,-0.89,0.13,-0.07,29.33,43.06,1000.51,-0.1,-0.3,38.51,48.03,42.86,998.62
2025_10_9_13_12_55,0.88,101,-0.86,0.17,-0.07,29.37,43.12,1000.51,-0.1,-0.3,38.52,48.04,42.87,998.65
2025_10_9_13_12_55,0.91,100,-0.89,0.16,-0.09,29.48,43.11,1000.5,-0.1,-0.3,38.53,48.03,42.87,998.65
2025_10_9_13_12_56,0.94,87,-0.93,-0.05,0.1,29.98,43.08,1000.5,-0.1,-0.3,38.53,48,42.87,998.65
2025_10_9_13_12_56,0.96,99,-0.94,0.14,0.15,30.25,43.13,1000.51,-0.1,-0.3,38.53,48.02,42.87,998.65
2025_10_9_13_12_56,0.99,99,-0.97,0.15,0.11,30.34,43.12,1000.52,-0.1,-0.3,38.55,48.06,42.87,998.65
2025_10_9_13_12_56,0.97,100,-0.94,0.17,0.17,29.6,43.12,1000.51,-0.1,-0.3,38.57,48.05,42.89,998.69
2025_10_9_13_12_56,1.03,100,-1.01,0.18,0.12,29.28,43.15,1000.51,-0.1,-0.3,38.56,48.04,42.89,998.58
2025_10_9_13_12_57,1.02,98,-1.01,0.13,0.06,29.32,43.16,1000.51,-0.1,-0.3,38.53,48,42.89,998.58
2025_10_9_13_12_57,0.98,96,-0.97,0.11,0.05,29.43,43.11,1000.51,-0.1,-0.3,38.55,48.03,42.91,998.73
2025_10_9_13_12_57,0.96,93,-0.96,0.05,-0.02,29.46,43.13,1000.51,-0.1,-0.3,38.55,48,42.91,998.62
2025_10_9_13_12_57,0.94,90,-0.94,-0.01,0.05,29.79,43.12,1000.51,-0.1,-0.3,38.56,48.07,42.91,998.73
2025_10_9_13_12_57,0.96,94,-0.96,0.07,0.04,29.98,43.13,1000.5,-0.1,-0.3,38.55,47.99,42.91,998.62
2025_10_9_13_12_58,0.87,90,-0.87,0.01,0.01,29.68,43.14,1000.5,-0.1,-0.3,38.57,48.08,42.91,998.62
2025_10_9_13_12_58,0.9,91,-0.9,0.01,-0.01,29.45,43.14,1000.5,-0.1,-0.3,38.57,48.05,42.93,998.66
2025_10_9_13_12_58,0.87,88,-0.87,-0.03,-0.02,29.46,43.15,1000.5,-0.1,-0.3,38.6,48.06,42.91,998.62
2025_10_9_13_12_58,0.82,91,-0.82,0.02,0,29.54,43.16,1000.5,-0.1,-0.3,38.61,48.03,42.93,998.66
2025_10_9_13_12_58,0.84,93,-0.84,0.04,-0.01,29.66,43.14,1000.51,-0.1,-0.3,38.6,48.05,42.93,998.66
2025_10_9_13_12_59,0.87,91,-0.87,0.02,-0.02,29.85,43.14,1000.51,-0.1,-0.3,38.59,48.04,42.94,998.7
2025_10_9_13_12_59,0.9,91,-0.9,0.01,-0.04,29.71,43.18,1000.51,-0.1,-0.3,38.59,48.07,42.94,998.58
2025_10_9_13_12_59,0.94,87,-0.94,-0.04,0.03,29.67,43.18,1000.51,-0.1,-0.3,38.6,48.07,42.96,998.73
2025_10_9_13_12_59,1.02,80,-1.01,-0.18,0.03,29.8,43.2,1000.5,-0.1,-0.3,38.62,48.09,42.94,998.58
2025_10_9_13_12_59,1.08,77,-1.05,-0.24,-0.1,29.8,43.13,1000.5,-0.1,-0.3,38.61,48.05,42.96,998.73
2025_10_9_13_13_0,0.95,78,-0.92,-0.2,-0.12,29.89,43.16,1000.49,-0.1,-0.3,38.61,48.06,42.96,998.62
2025_10_9_13_13_0,0.92,69,-0.85,-0.33,-0.09,30.4,43.13,1000.51,-0.1,-0.3,38.62,48.07,42.96,998.62
2025_10_9_13_13_0,0.97,79,-0.95,-0.18,0,30.6,43.13,1000.51,-0.1,-0.3,38.62,48.05,42.96,998.62
2025_10_9_13_13_0,1.06,91,-1.03,0.02,0.23,31.07,43.12,1000.51,-0.1,-0.3,38.64,48.08,42.96,998.62
2025_10_9_13_13_0,1.02,92,-0.98,0.04,0.27,30.24,43.12,1000.5,-0.1,-0.3,38.62,48.07,42.98,998.54
2025_10_9_13_13_1,1.05,85,-1.03,-0.08,0.18,30.02,43.12,1000.49,-0.1,-0.3,38.64,48.09,43,998.7
2025_10_9_13_13_1,1.18,87,-1.15,-0.07,0.22,30.31,43.11,1000.51,-0.1,-0.3,38.63,48.04,43,998.58
2025_10_9_13_13_1,1.17,80,-1.14,-0.19,0.14,30.16,43.09,1000.49,-0.1,-0.3,38.63,47.99,43,998.58
2025_10_9_13_13_1,1,89,-0.99,-0.02,0.12,29.68,43.12,1000.5,-0.1,-0.3,38.63,48.03,42.98,998.54
2025_10_9_13_13_1,0.98,86,-0.97,-0.07,0.11,29.71,43.07,1000.5,-0.1,-0.3,38.65,47.99,43,998.7
2025_10_9_13_13_2,0.93,93,-0.92,0.05,0.09,29.77,43.08,1000.49,-0.1,-0.3,38.64,48.04,43,998.7
2025_10_9_13_13_2,0.95,91,-0.95,0.01,0.07,29.69,43.07,1000.51,-0.1,-0.3,38.66,48,43.01,998.74
2025_10_9_13_13_2,1.04,80,-1.01,-0.17,0.13,29.67,43.03,1000.5,-0.1,-0.3,38.63,47.98,43.01,998.62
2025_10_9_13_13_2,1.04,77,-1.01,-0.23,0.06,29.64,43.11,1000.5,-0.1,-0.3,38.65,48.02,43.01,998.62
2025_10_9_13_13_2,1.11,81,-1.09,-0.17,0.09,29.44,43,1000.5,-0.1,-0.3,38.66,47.98,43.01,998.62
2025_10_9_13_13_3,1.12,82,-1.11,-0.16,0.07,29.38,43.07,1000.51,-0.1,-0.3,38.64,47.97,43.01,998.74
2025_10_9_13_13_3,1.18,97,-1.15,0.14,0.23,29.42,43.05,1000.49,-0.1,-0.3,38.67,47.98,43.03,998.66
2025_10_9_13_13_3,1.13,98,-1.09,0.16,0.22,29.48,43.03,1000.5,-0.1,-0.3,38.65,48.01,43.03,998.66
2025_10_9_13_13_3,1.14,97,-1.11,0.13,0.18,29.25,43.05,1000.5,-0.1,-0.3,38.67,48.01,43.03,998.66
2025_10_9_13_13_3,0.97,88,-0.97,-0.04,-0.02,29.25,43.06,1000.49,-0.1,-0.3,38.68,48.01,43.03,998.66
2025_10_9_13_13_4,1,87,-0.99,-0.06,-0.07,29.29,43.07,1000.5,-0.1,-0.3,38.67,47.99,43.05,998.58
2025_10_9_13_13_4,0.97,83,-0.96,-0.13,-0.07,29.23,43.03,1000.5,-0.1,-0.3,38.69,48.06,43.05,998.7
2025_10_9_13_13_4,1,84,-0.99,-0.11,-0.12,29.41,43.06,1000.5,-0.1,-0.3,38.7,48.01,43.05,998.58
2025_10_9_13_13_4,0.95,86,-0.94,-0.07,-0.01,29.37,43.06,1000.49,-0.1,-0.3,38.68,48,43.05,998.58
2025_10_9_13_13_4,0.89,79,-0.87,-0.17,-0.09,29.56,43.04,1000.5,-0.1,-0.3,38.69,48.02,43.06,998.74
2025_10_9_13_13_5,0.82,78,-0.8,-0.16,-0.07,29.54,43.05,1000.5,-0.1,-0.3,38.69,48.03,43.06,998.62
2025_10_9_13_13_5,0.9,73,-0.86,-0.27,-0.05,29.6,43.04,1000.5,-0.1,-0.3,38.69,48.01,43.06,998.62
