Time Stamp,Wind Speed (m/s),2D Wind Speed (m/s),Horizontal Wind Direction (Degrees),U Vector (m/s),V Vector (m/s),W Vector (m/s),Temperature (TSM) (C),Relative Humidity (TSM) (%),Dew Point (TSM) (C),Absolute Pressure (TSM) (hPa),Air Density (TSM) (kg/m^3),Pitch Angle (Degrees),Roll Angle (Degrees),Magnetic Heading (Degrees),True Heading (Degrees),Temperature (AHT10) (C),Relative Humidity (AHT10) (%),Temperature (MS5611) (C),Absolute Pressure (MS5611) (hPa)
2024_3_27_11_34_10,1.49,1.47,165,-0.38,1.42,-0.26,25.83,100.0,28.89,1015.33,1.162989,8.8,-4.3,333,333,34.56,65.6,34.64,1015.08
2024_3_27_11_34_10,1.9,1.83,142,-1.12,1.44,-0.53,25.67,100.0,28.88,1015.35,1.1636556,9.6,-3.9,333,333,34.56,65.6,34.64,1015.08
2024_3_27_11_34_10,1.52,1.32,151,-0.63,1.15,-0.76,25.24,100.0,28.89,1015.31,1.1653122,7.9,-4.2,334,334,34.57,65.59,34.64,1015.19
2024_3_27_11_34_10,1.86,1.83,150,-0.91,1.59,-0.31,25.42,100.0,28.89,1015.33,1.1645943,9.2,-3.7,334,334,34.57,65.59,34.64,1015.08
2024_3_27_11_34_10,1.52,1.47,139,-0.97,1.11,-0.36,25.11,100.0,28.9,1015.32,1.1658123,8.5,-3.8,334,334,34.57,65.57,34.66,1015.12
2024_3_27_11_34_10,1.44,1.41,135,-1.0,1.0,-0.26,25.15,100.0,28.88,1015.31,1.1656491,9.7,-3.7,333,333,34.58,65.56,34.66,1015.12
2024_3_27_11_34_10,1.19,1.08,87,-1.08,-0.06,-0.5,25.48,100.0,28.91,1015.28,1.1643,8.8,-3.6,333,333,34.58,65.55,34.66,1015.12
2024_3_27_11_34_11,0.63,0.6,80,-0.59,-0.11,-0.18,25.36,100.0,28.9,1015.33,1.164822,9.1,-3.7,333,333,34.59,65.56,34.66,1015.12
2024_3_27_11_34_11,0.33,0.29,184,0.02,0.29,-0.16,25.87,100.0,28.9,1015.29,1.1628017,8.7,-3.4,334,334,34.59,65.55,34.67,1015.16
2024_3_27_11_34_11,0.53,0.53,226,0.38,0.37,-0.04,26.04,100.0,28.9,1015.33,1.1621801,8.8,-3.6,333,333,34.59,65.55,34.66,1014.89
2024_3_27_11_34_11,8.3,3.72,184,0.27,3.71,-7.42,28.49,100.0,28.87,1015.27,1.1527047,9.3,-3.4,334,334,34.6,65.54,34.67,1015.16
2024_3_27_11_34_11,0.59,0.57,229,0.44,0.38,-0.13,25.8,100.0,28.88,1015.3,1.1631044,8.8,-3.4,334,334,34.6,65.53,34.67,1015.05
2024_3_27_11_34_11,0.86,0.85,200,0.28,0.8,-0.13,25.43,100.0,28.87,1015.29,1.164562,9.2,-3.4,334,334,34.61,65.53,34.67,1015.05
2024_3_27_11_34_11,1.6,1.6,187,0.19,1.59,-0.02,24.66,100.0,28.9,1015.31,1.1675479,8.5,-3.3,334,334,34.62,65.52,34.67,1015.05
2024_3_27_11_34_11,1.78,1.77,203,0.69,1.63,-0.23,25.18,100.0,28.87,1015.3,1.1655493,9.0,-3.4,334,334,34.62,65.52,34.69,1015.09
2024_3_27_11_34_11,1.55,1.54,202,0.58,1.43,-0.13,25.58,100.0,28.88,1015.25,1.1638985,8.6,-3.3,334,334,34.62,65.52,34.69,1015.09
2024_3_27_11_34_11,4.22,3.75,249,3.49,1.36,1.94,27.94,100.0,28.88,1015.25,1.1547616,9.0,-3.3,335,335,34.63,65.53,34.69,1015.2
2024_3_27_11_34_12,1.1,1.1,162,-0.34,1.04,-0.08,25.64,100.0,28.89,1015.27,1.1636976,8.7,-3.3,335,335,34.63,65.51,34.69,1015.09
2024_3_27_11_34_12,0.44,0.44,154,-0.2,0.39,-0.02,25.28,100.0,28.87,1015.32,1.1651542,8.8,-3.5,333,333,34.64,65.51,34.69,1014.98
2024_3_27_11_34_12,0.3,0.27,295,0.25,-0.11,0.13,25.73,100.0,28.9,1015.31,1.1633815,8.8,-3.4,333,333,34.64,65.49,34.69,1015.2
2024_3_27_11_34_12,1.34,1.34,203,0.51,1.23,-0.13,25.84,100.0,28.87,1015.31,1.1629574,8.7,-3.3,334,334,34.64,65.48,34.69,1015.2
2024_3_27_11_34_12,1.56,1.55,161,-0.51,1.46,-0.19,25.58,100.0,28.88,1015.31,1.1639719,8.8,-3.4,334,334,34.64,65.48,34.69,1015.09
2024_3_27_11_34_12,1.0,0.99,166,-0.23,0.96,-0.16,25.79,100.0,28.9,1015.3,1.1631049,8.9,-3.3,334,334,34.65,65.48,34.67,1015.05
2024_3_27_11_34_12,0.73,0.69,184,0.05,0.69,-0.25,25.4,100.0,28.88,1015.28,1.164636,8.7,-3.5,334,334,34.65,65.49,34.69,1015.09
2024_3_27_11_34_12,0.63,0.59,205,0.25,0.53,-0.23,25.75,100.0,28.88,1015.31,1.1633331,8.6,-3.3,334,334,34.65,65.48,34.67,1015.05
2024_3_27_11_34_12,0.65,0.62,231,0.48,0.39,-0.22,26.26,100.0,28.9,1015.32,1.1613204,8.8,-3.6,333,333,34.66,65.47,34.69,1015.09
2024_3_27_11_34_12,0.71,0.69,217,0.42,0.55,-0.16,25.84,100.0,28.87,1015.32,1.1630026,8.6,-3.4,334,334,34.66,65.49,34.67,1015.16
2024_3_27_11_34_13,0.17,0.15,255,0.14,0.04,-0.09,26.47,100.0,28.89,1015.35,1.160543,8.8,-3.5,333,333,34.66,65.45,34.67,1015.16
2024_3_27_11_34_13,0.42,0.41,321,0.26,-0.32,-0.04,26.89,100.0,28.88,1015.35,1.158937,8.5,-3.4,335,335,34.67,65.44,34.67,1015.16
2024_3_27_11_34_13,0.64,0.64,276,0.63,-0.06,0.06,27.0,100.0,28.9,1015.31,1.1584605,8.6,-3.5,334,334,34.67,65.42,34.67,1015.16
2024_3_27_11_34_13,0.36,0.27,304,0.22,-0.15,-0.23,26.93,100.0,28.88,1015.35,1.1587998,8.8,-3.4,334,334,34.67,65.41,34.66,1015.12
2024_3_27_11_34_13,0.3,0.3,76,-0.29,-0.07,0.01,27.59,100.0,28.9,1015.33,1.1562093,8.5,-3.5,334,334,34.67,65.41,34.66,1015.12
2024_3_27_11_34_13,0.4,0.4,99,-0.39,0.07,0.02,28.13,100.0,28.89,1015.35,1.1541411,8.9,-3.4,333,333,34.68,65.4,34.66,1015.12
2024_3_27_11_34_13,0.36,0.35,108,-0.33,0.1,0.08,28.24,100.0,28.91,1015.39,1.1537807,8.4,-3.5,333,333,34.68,65.38,34.64,1015.19
2024_3_27_11_34_13,0.54,0.54,120,-0.46,0.27,0.02,28.02,100.0,28.89,1015.37,1.154605,8.7,-3.4,333,333,34.68,65.38,34.66,1015.23
2024_3_27_11_34_13,0.54,0.54,154,-0.23,0.48,-0.02,28.06,100.0,28.92,1015.39,1.1544541,8.4,-3.5,335,335,34.68,65.36,34.64,1015.19
2024_3_27_11_34_13,2.85,2.84,103,-2.77,0.63,-0.25,30.57,90.74,28.88,1015.41,1.144942,8.7,-3.4,333,333,34.69,65.36,34.66,1015.12
2024_3_27_11_34_14,0.26,0.26,169,-0.05,0.25,-0.01,28.34,100.0,28.88,1015.38,1.1533908,8.5,-3.5,334,334,34.69,65.34,34.66,1015.23
2024_3_27_11_34_14,0.54,0.5,143,-0.31,0.4,-0.2,27.29,100.0,28.91,1015.39,1.157407,8.9,-3.7,333,333,34.69,65.36,34.66,1015.12
2024_3_27_11_34_14,1.92,1.91,167,-0.45,1.86,-0.18,25.37,100.0,28.89,1015.34,1.1647998,8.4,-3.5,334,334,34.69,65.34,34.66,1015.23
2024_3_27_11_34_14,1.89,1.86,155,-0.79,1.69,-0.34,25.37,100.0,28.93,1015.41,1.1648635,8.7,-3.7,334,334,34.69,65.34,34.66,1015.23
2024_3_27_11_34_14,2.08,2.06,153,-0.92,1.84,-0.28,25.46,100.0,28.91,1015.37,1.1644959,8.0,-3.8,334,334,34.7,65.33,34.67,1015.27
2024_3_27_11_34_14,2.09,2.04,149,-1.05,1.74,-0.46,25.67,100.0,28.9,1015.37,1.1636798,9.0,-3.8,334,334,34.7,65.33,34.66,1015.23
2024_3_27_11_34_14,2.09,2.07,139,-1.35,1.57,-0.3,26.2,100.0,28.91,1015.39,1.1616448,8.1,-3.9,334,334,34.71,65.32,34.67,1015.27
2024_3_27_11_34_14,1.28,1.28,147,-0.69,1.08,0.0,26.46,100.0,28.91,1015.35,1.1605523,8.9,-3.9,334,334,34.71,65.31,34.67,1015.16
2024_3_27_11_34_14,2.06,2.04,145,-1.17,1.66,-0.32,25.82,100.0,28.89,1015.4,1.1631229,8.1,-3.9,333,333,34.71,65.31,34.69,1015.31
2024_3_27_11_34_14,1.99,1.98,139,-1.29,1.5,-0.11,25.81,100.0,28.88,1015.38,1.1631545,8.5,-3.9,334,334,34.71,65.32,34.67,1015.27
2024_3_27_11_34_15,1.79,1.79,142,-1.1,1.41,-0.16,25.53,100.0,28.88,1015.47,1.1643399,8.3,-4.1,334,334,34.72,65.29,34.69,1015.2
2024_3_27_11_34_15,1.81,0.82,30,-0.41,-0.7,-1.62,27.62,100.0,28.89,1015.43,1.1561918,8.5,-4.1,334,334,34.72,65.28,34.69,1015.2
2024_3_27_11_34_15,1.91,1.9,158,-0.71,1.76,-0.21,25.77,100.0,28.88,1015.4,1.1633315,8.7,-4.3,334,334,34.72,65.26,34.69,1015.31
2024_3_27_11_34_15,1.59,1.56,177,-0.1,1.56,-0.3,25.4,100.0,28.9,1015.4,1.1647654,8.2,-4.2,333,333,34.72,65.24,34.69,1015.31
2024_3_27_11_34_15,1.7,1.68,174,-0.17,1.67,-0.26,25.74,100.0,28.9,1015.41,1.1634367,8.6,-4.3,334,334,34.72,65.25,34.69,1015.31
2024_3_27_11_34_15,1.33,0.89,101,-0.88,0.16,-0.98,27.07,100.0,28.9,1015.45,1.1583389,8.2,-4.3,334,334,34.72,65.23,34.67,1015.16
2024_3_27_11_34_15,1.27,1.27,171,-0.2,1.25,-0.09,25.61,100.0,28.92,1015.46,1.164011,8.7,-4.4,333,333,34.71,65.22,34.69,1015.31
2024_3_27_11_34_15,1.38,1.37,175,-0.12,1.36,-0.21,25.76,100.0,28.92,1015.46,1.1634064,8.3,-4.5,333,333,34.71,65.2,34.69,1015.31
2024_3_27_11_34_15,4.62,4.32,117,-3.83,1.99,1.62,28.22,100.0,28.9,1015.42,1.1539005,8.9,-4.3,333,333,34.71,65.17,34.67,1015.27
2024_3_27_11_34_15,1.72,1.7,150,-0.85,1.47,-0.28,25.73,100.0,28.89,1015.39,1.1634568,8.4,-4.5,333,333,34.71,65.19,34.67,1015.27
2024_3_27_11_34_16,1.6,1.58,145,-0.91,1.3,-0.21,26.01,100.0,28.92,1015.41,1.16238,8.7,-4.6,333,333,34.71,65.18,34.67,1015.27
2024_3_27_11_34_16,1.53,1.52,144,-0.9,1.23,-0.07,25.86,100.0,28.9,1015.45,1.1630213,8.3,-4.5,333,333,34.71,65.16,34.67,1015.27
2024_3_27_11_34_16,1.15,1.13,145,-0.64,0.93,-0.22,25.96,100.0,28.89,1015.45,1.1626616,8.7,-4.9,333,333,34.71,65.15,34.67,1015.27
2024_3_27_11_34_16,1.29,1.26,131,-0.95,0.82,-0.28,26.08,100.0,28.93,1015.42,1.162119,8.6,-4.6,333,333,34.71,65.15,34.67,1015.27
2024_3_27_11_34_16,1.45,1.42,150,-0.7,1.23,-0.33,25.83,100.0,28.89,1015.44,1.1631374,8.8,-5.0,332,332,34.71,65.14,34.67,1015.27
2024_3_27_11_34_16,1.32,1.29,157,-0.5,1.2,-0.27,26.34,100.0,28.91,1015.45,1.1611506,8.5,-4.8,334,334,34.71,65.15,34.67,1015.16
2024_3_27_11_34_16,1.47,1.46,146,-0.82,1.21,-0.19,25.61,100.0,28.9,1015.46,1.1640234,8.3,-4.8,333,333,34.71,65.15,34.67,1015.27
2024_3_27_11_34_16,1.4,1.36,144,-0.8,1.11,-0.3,25.61,100.0,28.92,1015.42,1.1639477,8.7,-5.0,333,333,34.71,65.14,34.69,1015.31
2024_3_27_11_34_16,1.35,1.31,153,-0.6,1.17,-0.33,25.95,100.0,28.89,1015.42,1.1626582,8.4,-4.9,333,333,34.71,65.14,34.67,1015.27
2024_3_27_11_34_16,0.95,0.93,177,-0.04,0.93,-0.17,26.0,100.0,28.91,1015.48,1.1624897,8.9,-5.2,333,333,34.71,65.13,34.67,1015.16
2024_3_27_11_34_17,1.42,1.4,169,-0.27,1.38,-0.2,25.68,100.0,28.93,1015.33,1.1635637,8.6,-5.0,333,333,34.71,65.1,34.67,1015.27
2024_3_27_11_34_17,1.13,1.09,170,-0.19,1.08,-0.29,25.67,100.0,28.92,1015.37,1.1636691,8.7,-5.4,333,333,34.71,65.1,34.67,1015.27
2024_3_27_11_34_17,1.74,1.71,166,-0.4,1.67,-0.29,25.47,100.0,28.92,1015.39,1.1644398,8.4,-5.1,333,333,34.71,65.1,34.66,1015.12
2024_3_27_11_34_17,1.42,1.37,164,-0.37,1.32,-0.37,25.59,100.0,28.92,1015.45,1.1640791,8.6,-5.5,333,333,34.71,65.09,34.66,1015.23
2024_3_27_11_34_17,1.7,1.66,163,-0.5,1.59,-0.33,25.42,100.0,28.9,1015.42,1.1647215,8.4,-5.4,333,333,34.71,65.07,34.66,1015.23
2024_3_27_11_34_17,1.19,1.19,177,-0.07,1.19,0.02,25.63,100.0,28.94,1015.41,1.1638272,8.6,-5.5,334,334,34.7,65.06,34.66,1015.34
2024_3_27_11_34_17,1.21,1.16,165,-0.3,1.12,-0.36,25.93,100.0,28.92,1015.42,1.1627023,8.4,-5.5,332,332,34.7,65.06,34.64,1015.3
2024_3_27_11_34_17,1.14,1.12,175,-0.11,1.12,-0.16,26.33,100.0,28.92,1015.37,1.1610819,8.7,-5.4,332,332,34.7,65.04,34.64,1015.3
2024_3_27_11_34_17,0.57,0.5,193,0.11,0.49,-0.28,26.76,100.0,28.92,1015.42,1.1594703,8.4,-5.5,333,333,34.7,65.04,34.64,1015.3
2024_3_27_11_34_17,0.29,0.29,189,0.04,0.28,-0.02,27.32,100.0,28.92,1015.37,1.1572652,8.7,-5.4,332,332,34.7,65.03,34.62,1015.26
2024_3_27_11_34_18,0.27,0.27,236,0.22,0.15,0.02,26.93,100.0,28.91,1015.39,1.1588067,8.6,-5.4,333,333,34.7,65.01,34.62,1015.26
2024_3_27_11_34_18,8.06,2.78,360,0.01,-2.78,-7.57,29.49,96.87,28.94,1015.37,1.1489332,8.7,-5.3,332,332,34.69,65.01,34.6,1015.22
2024_3_27_11_34_18,0.34,0.21,25,-0.09,-0.19,-0.27,27.19,100.0,28.93,1015.39,1.1577618,8.8,-5.4,333,333,34.69,64.99,34.6,1015.22
