Time Stamp,Wind Speed (m/s),2D Wind Speed (m/s),Horizontal Wind Direction (Degrees),U Vector (m/s),V Vector (m/s),W Vector (m/s),Temperature (TSM) (C),Relative Humidity (TSM) (%),Dew Point (TSM) (C),Absolute Pressure (TSM) (hPa),Air Density (TSM) (kg/m^3),Pitch Angle (Degrees),Roll Angle (Degrees),Magnetic Heading (Degrees),True Heading (Degrees),Temperature (AHT10) (C),Relative Humidity (AHT10) (%),Temperature (MS5611) (C),Absolute Pressure (MS5611) (hPa)
2025_10_9_13_12_31,,01.36,D,136,U,-00.94,V,00.98,W,-00.04,T,29.16,H,43.51,P,1000.50,PI,-000.3,RO,-000.2,MD,008,38.24,48.55,42.39,998.72
2025_10_9_13_12_31,,01.27,D,136,U,-00.88,V,00.92,W,-00.07,T,29.12,H,43.50,P,1000.51,PI,-000.1,RO,-000.2,MD,009,38.26,48.62,42.39,998.60
2025_10_9_13_12_31,,01.17,D,135,U,-00.83,V,00.82,W,-00.07,T,29.17,H,43.54,P,1000.49,PI,-000.0,RO,-000.3,MD,008,38.27,48.59,42.41,998.64
2025_10_9_13_12_32,,01.09,D,134,U,-00.78,V,00.75,W,-00.11,T,29.25,H,43.46,P,1000.50,PI,-000.0,RO,-000.3,MD,009,38.26,48.58,42.41,998.76
2025_10_9_13_12_32,,01.21,D,130,U,-00.92,V,00.78,W,00.08,T,29.32,H,43.46,P,1000.51,PI,-000.2,RO,-000.3,MD,009,38.26,48.57,42.41,998.64
2025_10_9_13_12_32,,01.30,D,135,U,-00.91,V,00.92,W,00.09,T,29.37,H,43.47,P,1000.52,PI,-000.4,RO,000.4,MD,009,38.26,48.58,42.41,998.53
2025_10_9_13_12_32,,01.37,D,139,U,-00.89,V,01.04,W,-00.02,T,29.20,H,43.45,P,1000.50,PI,-000.3,RO,-000.4,MD,009,38.27,48.59,42.42,998.57
2025_10_9_13_12_32,,01.37,D,138,U,-00.92,V,01.02,W,-00.06,T,29.17,H,43.42,P,1000.51,PI,-000.3,RO,-000.6,MD,008,38.27,48.59,42.42,998.68
2025_10_9_13_12_33,,01.29,D,139,U,-00.85,V,00.97,W,-00.08,T,29.21,H,43.40,P,1000.51,PI,-000.1,RO,-000.4,MD,009,38.28,48.58,42.42,998.68
2025_10_9_13_12_33,,01.32,D,143,U,-00.80,V,01.04,W,-00.05,T,29.19,H,43.45,P,1000.50,PI,000.0,RO,-000.3,MD,009,38.30,48.57,42.42,998.68
2025_10_9_13_12_33,,01.34,D,143,U,-00.80,V,01.07,W,-00.03,T,29.17,H,43.38,P,1000.51,PI,-000.1,RO,-000.4,MD,009,38.27,48.50,42.44,998.61
2025_10_9_13_12_33,,01.23,D,144,U,-00.73,V,00.99,W,-00.02,T,29.22,H,43.40,P,1000.50,PI,000.1,RO,-000.1,MD,009,38.29,48.58,42.44,998.72
